"P0","MSYR","ROI","P1993","alpha","alpha_status","method"
15326.5,0.0177131,0.0166591,8476.45,0.5,"fixed","MCMC"
12205.8,0.0321591,0.0297097,8191.66,0.5,"fixed","MCMC"
13296,0.0259238,0.0222453,9039.81,0.5,"fixed","MCMC"
13242.3,0.0260828,0.0253079,7915.62,0.5,"fixed","MCMC"
12280.8,0.031618,0.0330012,6931.79,0.5,"fixed","MCMC"
13103.1,0.0268607,0.024602,8468.17,0.5,"fixed","MCMC"
13706.6,0.0237909,0.0235388,7706.28,0.5,"fixed","MCMC"
19210.4,0.00933465,0.00826968,8426.96,0.5,"fixed","MCMC"
12253.2,0.0319057,0.0251058,9201.37,0.5,"fixed","MCMC"
15250.7,0.017946,0.0169095,8446.72,0.5,"fixed","MCMC"
13828.6,0.0233015,0.0220727,8259.39,0.5,"fixed","MCMC"
14537.6,0.0203707,0.0195234,8176.41,0.5,"fixed","MCMC"
13299.4,0.0258056,0.0246779,8083.76,0.5,"fixed","MCMC"
14123.4,0.0221942,0.0190526,9270.7,0.5,"fixed","MCMC"
13307,0.0257412,0.0252374,7800.11,0.5,"fixed","MCMC"
13706.3,0.0237496,0.024128,7309.7,0.5,"fixed","MCMC"
13170.7,0.0264737,0.0251677,8126.86,0.5,"fixed","MCMC"
16638.2,0.0136509,0.0133747,6786.69,0.5,"fixed","MCMC"
13602,0.0243268,0.0232646,8122.88,0.5,"fixed","MCMC"
13652.4,0.0241664,0.0217482,8745.73,0.5,"fixed","MCMC"
16808.4,0.0140304,0.0125319,9332.33,0.5,"fixed","MCMC"
15415.5,0.0173986,0.0165363,8312.17,0.5,"fixed","MCMC"
15054.4,0.0186845,0.017002,8892.47,0.5,"fixed","MCMC"
14076.3,0.0221638,0.0217736,7814.43,0.5,"fixed","MCMC"
13843.4,0.0231455,0.0231845,7527.25,0.5,"fixed","MCMC"
14911,0.018982,0.0184182,7992.39,0.5,"fixed","MCMC"
14617.3,0.0202981,0.0175624,9331.85,0.5,"fixed","MCMC"
13382.2,0.025491,0.022043,9007.18,0.5,"fixed","MCMC"
13639.6,0.0241545,0.0230218,8165.81,0.5,"fixed","MCMC"
14723.1,0.0198163,0.0180127,8853.92,0.5,"fixed","MCMC"
12794.4,0.0285823,0.0250215,8750.7,0.5,"fixed","MCMC"
15297.2,0.0175457,0.0175712,7281.19,0.5,"fixed","MCMC"
15711.9,0.0160422,0.0162873,6292.44,0.5,"fixed","MCMC"
12868.6,0.028107,0.0268623,8024.88,0.5,"fixed","MCMC"
15576.1,0.0170211,0.0157282,8746.42,0.5,"fixed","MCMC"
14306.7,0.0214958,0.0181553,9455.9,0.5,"fixed","MCMC"
14932.4,0.0192444,0.0164193,9542,0.5,"fixed","MCMC"
12972.9,0.0274842,0.0277025,7428.5,0.5,"fixed","MCMC"
13711.5,0.0238035,0.0229877,8019.75,0.5,"fixed","MCMC"
13703.5,0.0239181,0.0217803,8647.48,0.5,"fixed","MCMC"
14278.4,0.0213078,0.0211086,7685.31,0.5,"fixed","MCMC"
15068.3,0.0184769,0.0177497,8148.63,0.5,"fixed","MCMC"
14402.8,0.0208677,0.0201784,8046.96,0.5,"fixed","MCMC"
15549.3,0.0168902,0.0164254,7880.96,0.5,"fixed","MCMC"
14317.5,0.0212386,0.0202071,8258.89,0.5,"fixed","MCMC"
12986.4,0.0274579,0.0261136,8093.19,0.5,"fixed","MCMC"
12553.1,0.0299796,0.0269972,8476.07,0.5,"fixed","MCMC"
13381.1,0.0254986,0.0219888,9027.7,0.5,"fixed","MCMC"
14314.3,0.0215066,0.0177165,9653.73,0.5,"fixed","MCMC"
12957.6,0.0276169,0.0262252,8103.37,0.5,"fixed","MCMC"
13280.7,0.0260288,0.0215967,9268.92,0.5,"fixed","MCMC"
12280.6,0.0316834,0.0283345,8454.68,0.5,"fixed","MCMC"
14042.2,0.0222297,0.0226916,7191.03,0.5,"fixed","MCMC"
14660.8,0.0198586,0.0194145,7880.96,0.5,"fixed","MCMC"
17397.2,0.0124377,0.01159,8320.78,0.5,"fixed","MCMC"
14713.2,0.0197395,0.0187867,8281.65,0.5,"fixed","MCMC"
13305,0.0257687,0.0248529,7991.15,0.5,"fixed","MCMC"
12992.6,0.0274725,0.0244701,8673.88,0.5,"fixed","MCMC"
13211.2,0.0263109,0.023719,8629.59,0.5,"fixed","MCMC"
16462.3,0.0145074,0.0137316,8265.61,0.5,"fixed","MCMC"
14610.1,0.0203642,0.01726,9513.17,0.5,"fixed","MCMC"
12674.7,0.0292118,0.028421,7812.9,0.5,"fixed","MCMC"
15261.3,0.0178686,0.0170492,8252.91,0.5,"fixed","MCMC"
14052.9,0.0223568,0.0208321,8474.37,0.5,"fixed","MCMC"
13182.9,0.0264919,0.0228763,8960.93,0.5,"fixed","MCMC"
12979,0.027517,0.0255316,8326.45,0.5,"fixed","MCMC"
12978.5,0.0275382,0.0249016,8548.85,0.5,"fixed","MCMC"
14568.9,0.0203939,0.0183539,8934.76,0.5,"fixed","MCMC"
15076.3,0.0185007,0.0174946,8388.61,0.5,"fixed","MCMC"
12771.9,0.0286623,0.0271639,8090.08,0.5,"fixed","MCMC"
13776,0.0235201,0.0225458,8115.4,0.5,"fixed","MCMC"
14474.6,0.0206226,0.0196587,8245.86,0.5,"fixed","MCMC"
13089,0.0269348,0.0246794,8461.71,0.5,"fixed","MCMC"
14518,0.0205109,0.0190945,8548.22,0.5,"fixed","MCMC"
13099.3,0.0269557,0.0223786,9205.51,0.5,"fixed","MCMC"
13852.5,0.0230837,0.0233887,7343.7,0.5,"fixed","MCMC"
16897.9,0.0135591,0.0126457,8497.77,0.5,"fixed","MCMC"
16242.6,0.0151401,0.0141567,8551.24,0.5,"fixed","MCMC"
13854.2,0.0231681,0.0222295,8112.03,0.5,"fixed","MCMC"
13635.9,0.024282,0.0211157,9033.18,0.5,"fixed","MCMC"
15007.8,0.0186388,0.0181341,7941.52,0.5,"fixed","MCMC"
15294.7,0.01768,0.0172304,7880.73,0.5,"fixed","MCMC"
13899.9,0.0229972,0.0216353,8346.18,0.5,"fixed","MCMC"
14102.2,0.0220089,0.0221008,7474.5,0.5,"fixed","MCMC"
12920.9,0.0278175,0.0264858,8070.97,0.5,"fixed","MCMC"
12797.1,0.0285887,0.0241111,9005.63,0.5,"fixed","MCMC"
14867.7,0.0191538,0.0184625,8098.77,0.5,"fixed","MCMC"
13616.6,0.0243181,0.0221489,8627.76,0.5,"fixed","MCMC"
14122.7,0.0219993,0.0212713,8035.41,0.5,"fixed","MCMC"
12880.6,0.0280512,0.0263604,8190.1,0.5,"fixed","MCMC"
12213.2,0.0321284,0.0282146,8560.91,0.5,"fixed","MCMC"
14260.3,0.0214011,0.0210147,7821.83,0.5,"fixed","MCMC"
13947.5,0.0227591,0.0218323,8123.5,0.5,"fixed","MCMC"
13016.6,0.0272717,0.0266349,7815.73,0.5,"fixed","MCMC"
13278.3,0.0260163,0.0222295,9065.59,0.5,"fixed","MCMC"
12203.3,0.0321778,0.0295396,8240.41,0.5,"fixed","MCMC"
14079.1,0.022102,0.0222491,7434.89,0.5,"fixed","MCMC"
14590,0.0203139,0.0183064,8924.62,0.5,"fixed","MCMC"
12502.8,0.0302784,0.0276727,8348.3,0.5,"fixed","MCMC"
13992.6,0.0225208,0.0221417,7801.77,0.5,"fixed","MCMC"
14629.7,0.0202507,0.0175504,9319.7,0.5,"fixed","MCMC"
13289,0.0258667,0.0245336,8169.33,0.5,"fixed","MCMC"
16705.6,0.0140656,0.0130065,8718.3,0.5,"fixed","MCMC"
14874.2,0.0191892,0.0181289,8392.27,0.5,"fixed","MCMC"
15471,0.0171208,0.0166888,7847.83,0.5,"fixed","MCMC"
13569.9,0.0243981,0.0247552,7337.27,0.5,"fixed","MCMC"
14646.3,0.0202585,0.0169683,9623.78,0.5,"fixed","MCMC"
14526.3,0.020347,0.0200223,7781.58,0.5,"fixed","MCMC"
13438,0.0251306,0.0236972,8253.01,0.5,"fixed","MCMC"
14378.9,0.0209927,0.0200129,8238.17,0.5,"fixed","MCMC"
14645,0.0200449,0.0186322,8582.03,0.5,"fixed","MCMC"
12919.8,0.0279312,0.0226282,9294.35,0.5,"fixed","MCMC"
13276,0.0259752,0.0235532,8594.46,0.5,"fixed","MCMC"
14871.3,0.0192121,0.0180648,8456.63,0.5,"fixed","MCMC"
13965.6,0.022746,0.0209393,8589.56,0.5,"fixed","MCMC"
14838.5,0.019328,0.0181621,8462.8,0.5,"fixed","MCMC"
12200.5,0.0321586,0.0326112,7298.7,0.5,"fixed","MCMC"
15080,0.0183621,0.0180195,7779.51,0.5,"fixed","MCMC"
13218.7,0.0261584,0.0265389,7344.81,0.5,"fixed","MCMC"
12586.8,0.0297279,0.0293261,7653.23,0.5,"fixed","MCMC"
14158.8,0.0218943,0.0206693,8338.87,0.5,"fixed","MCMC"
16687,0.0137187,0.013294,7428.13,0.5,"fixed","MCMC"
17023.8,0.0132281,0.012398,8331.94,0.5,"fixed","MCMC"
13505,0.0248798,0.0219236,8891.54,0.5,"fixed","MCMC"
13530,0.0248083,0.0208909,9246.26,0.5,"fixed","MCMC"
13065.7,0.0269829,0.0270421,7507.87,0.5,"fixed","MCMC"
13341.4,0.025678,0.0225313,8883.04,0.5,"fixed","MCMC"
13014.2,0.0273358,0.0250327,8450.23,0.5,"fixed","MCMC"
12221.1,0.0320937,0.0268086,8872.78,0.5,"fixed","MCMC"
12933.5,0.0278225,0.0237675,8963.33,0.5,"fixed","MCMC"
14478.3,0.020526,0.0202435,7747.8,0.5,"fixed","MCMC"
13318.7,0.0256584,0.025685,7534.17,0.5,"fixed","MCMC"
14615.9,0.0202526,0.0179653,9092.39,0.5,"fixed","MCMC"
16050.1,0.0155177,0.0148659,8094.26,0.5,"fixed","MCMC"
13021.3,0.0273037,0.0247834,8527.31,0.5,"fixed","MCMC"
15097.6,0.0185379,0.0169042,8873.1,0.5,"fixed","MCMC"
17250.6,0.0127912,0.0118864,8475.1,0.5,"fixed","MCMC"
13332.5,0.025717,0.0227011,8832.96,0.5,"fixed","MCMC"
13750.2,0.023754,0.0208382,8991.24,0.5,"fixed","MCMC"
12962.1,0.0275941,0.0261362,8129.45,0.5,"fixed","MCMC"
13532,0.0247215,0.0223968,8658.88,0.5,"fixed","MCMC"
12524.6,0.030076,0.03125,6998.71,0.5,"fixed","MCMC"
12789.3,0.0285671,0.0268653,8165.73,0.5,"fixed","MCMC"
15790.6,0.01634,0.0153431,8502.25,0.5,"fixed","MCMC"
12791.2,0.0285616,0.0266508,8237.35,0.5,"fixed","MCMC"
13751.4,0.0237022,0.0215736,8661.59,0.5,"fixed","MCMC"
13671,0.0239833,0.0232874,7949.61,0.5,"fixed","MCMC"
12743.9,0.028795,0.0285185,7626.65,0.5,"fixed","MCMC"
12283.3,0.0316662,0.0282928,8462.07,0.5,"fixed","MCMC"
15270.5,0.0177219,0.0174214,7714.05,0.5,"fixed","MCMC"
13183.3,0.0263547,0.0264604,7489.28,0.5,"fixed","MCMC"
14280.6,0.0213089,0.0210163,7754.78,0.5,"fixed","MCMC"
12189.4,0.0322984,0.0272098,8812.78,0.5,"fixed","MCMC"
14874.7,0.0190388,0.0188717,7619.63,0.5,"fixed","MCMC"
13645,0.0240488,0.024263,7422.43,0.5,"fixed","MCMC"
13596.2,0.0242847,0.0244303,7467.16,0.5,"fixed","MCMC"
16248.3,0.0154977,0.0133242,9776.25,0.5,"fixed","MCMC"
16748.3,0.014073,0.0127834,9048.82,0.5,"fixed","MCMC"
13577.1,0.0245072,0.0222309,8657,0.5,"fixed","MCMC"
14356.5,0.0210441,0.020401,8009.49,0.5,"fixed","MCMC"
15414.4,0.0175381,0.0160366,8876.89,0.5,"fixed","MCMC"
16457.3,0.0145388,0.0137222,8330.66,0.5,"fixed","MCMC"
14632.2,0.0201404,0.0183181,8832.39,0.5,"fixed","MCMC"
14957.8,0.018847,0.0181311,8128.18,0.5,"fixed","MCMC"
13781.2,0.0235085,0.0223479,8213.04,0.5,"fixed","MCMC"
12887.7,0.0279312,0.0290927,6953.38,0.5,"fixed","MCMC"
18777.3,0.00988219,0.00890282,8125.51,0.5,"fixed","MCMC"
13588.3,0.0244502,0.0222706,8621.34,0.5,"fixed","MCMC"
14437.2,0.0208631,0.0189881,8791.85,0.5,"fixed","MCMC"
12278.9,0.0317016,0.0277956,8590.95,0.5,"fixed","MCMC"
14465.4,0.0209081,0.0175449,9555.1,0.5,"fixed","MCMC"
12908.4,0.0279395,0.024639,8728.26,0.5,"fixed","MCMC"
14198.8,0.021754,0.0202793,8490.42,0.5,"fixed","MCMC"
12578.8,0.0299301,0.0215106,9746.47,0.5,"fixed","MCMC"
16154.4,0.015565,0.0139485,9229.62,0.5,"fixed","MCMC"
12224.1,0.0320196,0.0311194,7753.51,0.5,"fixed","MCMC"
13860.5,0.0231269,0.0223807,8006.68,0.5,"fixed","MCMC"
13827.2,0.0232864,0.0223776,8090.63,0.5,"fixed","MCMC"
12550.4,0.0299969,0.0269575,8490.91,0.5,"fixed","MCMC"
13495.9,0.0248647,0.0231309,8400.51,0.5,"fixed","MCMC"
14263.7,0.0214345,0.0205865,8132.8,0.5,"fixed","MCMC"
15098.9,0.0183954,0.0175616,8246.16,0.5,"fixed","MCMC"
16934.2,0.0134852,0.0125607,8518.54,0.5,"fixed","MCMC"
14691.7,0.0197566,0.019233,7947.48,0.5,"fixed","MCMC"
14333.4,0.0212016,0.0199176,8417.42,0.5,"fixed","MCMC"
14996.3,0.0186263,0.0183893,7677.24,0.5,"fixed","MCMC"
16781.4,0.0136735,0.0130086,8016.98,0.5,"fixed","MCMC"
14282.7,0.0213335,0.020729,7975.01,0.5,"fixed","MCMC"
16793,0.0137997,0.0128777,8509.57,0.5,"fixed","MCMC"
15260.8,0.017775,0.0173852,7816.74,0.5,"fixed","MCMC"
13978,0.0226915,0.0209126,8580.05,0.5,"fixed","MCMC"
14464.1,0.020499,0.0208175,7214.51,0.5,"fixed","MCMC"
13322,0.0256226,0.0260634,7305.63,0.5,"fixed","MCMC"
13041.2,0.0270695,0.0283966,6822.1,0.5,"fixed","MCMC"
15390.5,0.0174948,0.0165426,8394.75,0.5,"fixed","MCMC"
13129.9,0.0265685,0.0283305,6490.16,0.5,"fixed","MCMC"
12598.9,0.0297179,0.0260753,8678.84,0.5,"fixed","MCMC"
14271.1,0.0212994,0.0214363,7419.79,0.5,"fixed","MCMC"
12865.9,0.0281839,0.0245256,8814.05,0.5,"fixed","MCMC"
14459.9,0.0208879,0.0179288,9362.73,0.5,"fixed","MCMC"
13606.3,0.0243473,0.022527,8474.27,0.5,"fixed","MCMC"
13865.7,0.0229689,0.0239044,6837.31,0.5,"fixed","MCMC"
14845.5,0.0193367,0.0179444,8625.29,0.5,"fixed","MCMC"
13280,0.0260442,0.0213122,9358.5,0.5,"fixed","MCMC"
15282.4,0.0178181,0.0169214,8327.18,0.5,"fixed","MCMC"
17641.3,0.012139,0.0110653,8850.18,0.5,"fixed","MCMC"
16776,0.0138306,0.0129231,8484.42,0.5,"fixed","MCMC"
