year,kills
1848,18
1849,573
1850,2067
1851,898
1852,2709
1853,807
1854,166
1855,2
1856,0
1857,78
1858,461
1859,372
1860,221
1861,306
1862,157
1863,303
1864,434
1865,590
1866,554
1867,599
1868,516
1869,382
1870,637
1871,138
1872,200
1873,147
1874,95
1875,200
1876,76
1877,270
1878,80
1879,266
1880,480
1881,435
1882,242
1883,42
1884,160
1885,377
1886,168
1887,240
1888,160
1889,127
1890,136
1891,284
1892,346
1893,180
1894,234
1895,117
1896,118
1897,130
1898,309
1899,234
1900,148
1901,55
1902,62
1903,116
1904,86
1905,105
1906,69
1907,96
1908,123
1909,61
1910,37
1911,48
1912,39
1913,23
1914,61
1915,23
1916,23
1917,35
1918,27
1919,33
1920,33
1921,9
1922,39
1923,12
1924,41
1925,53
1926,35
1927,14
1928,30
1929,30
1930,17
1931,32
1932,27
1933,21
1934,21
1935,15
1936,24
1937,53
1938,36
1939,18
1940,20
1941,38
1942,26
1943,14
1944,8
1945,23
1946,20
1947,21
1948,8
1949,11
1950,23
1951,23
1952,11
1953,41
1954,9
1955,36
1956,11
1957,5
1958,5
1959,2
1960,33
1961,17
1962,20
1963,15
1964,24
1965,14
1966,24
1967,12
1968,27
1969,32
1970,48
1971,25
1972,44
1973,50
1974,40
1975,32
1976,75
1977,72
1978,16
1979,23
1980,29
1981,24
1982,16
1983,16
1984,22
1985,16
1986,26
1987,29
1988,27
1989,24
1990,40
1991,47
1992,46
1993,51
1994,38
1995,56
1996,42
1997,62
1998,51
1999,47
2000,42
2001,67
2002,44
