"phi","dens","study","distribution"
0,0,"study_0","Beta"
0.001001001001001,3.2335002458596e-61,"study_0","Beta"
0.002002002002002,3.07374305467372e-48,"study_0","Beta"
0.003003003003003,9.29157951168633e-41,"study_0","Beta"
0.004004004004004,1.57591120762133e-35,"study_0","Beta"
0.005005005005005,1.56113607140532e-31,"study_0","Beta"
0.00600600600600601,2.56456753910088e-28,"study_0","Beta"
0.00700700700700701,1.2189924370569e-25,"study_0","Beta"
0.00800800800800801,2.33724279394944e-23,"study_0","Beta"
0.00900900900900901,2.23975464573747e-21,"study_0","Beta"
0.01001001001001,1.24177693388529e-19,"study_0","Beta"
0.011011011011011,4.42142916478707e-18,"study_0","Beta"
0.012012012012012,1.09201125145339e-16,"study_0","Beta"
0.013013013013013,1.98359873777136e-15,"study_0","Beta"
0.014014014014014,2.77331782642073e-14,"study_0","Beta"
0.015015015015015,3.09404327118131e-13,"study_0","Beta"
0.016016016016016,2.83569641176797e-12,"study_0","Beta"
0.017017017017017,2.1863847509677e-11,"study_0","Beta"
0.018018018018018,1.44637632249972e-10,"study_0","Beta"
0.019019019019019,8.34621301962655e-10,"study_0","Beta"
0.02002002002002,4.26003457787053e-09,"study_0","Beta"
0.021021021021021,1.94637427409047e-08,"study_0","Beta"
0.022022022022022,8.04230662780963e-08,"study_0","Beta"
0.023023023023023,3.03202920364768e-07,"study_0","Beta"
0.024024024024024,1.0511125514375e-06,"study_0","Beta"
0.025025025025025,3.37349796800754e-06,"study_0","Beta"
0.026026026026026,1.00839755347823e-05,"study_0","Beta"
0.027027027027027,2.82236277590521e-05,"study_0","Beta"
0.028028028028028,7.43157885613803e-05,"study_0","Beta"
0.029029029029029,0.000184874620234461,"study_0","Beta"
0.03003003003003,0.000436169069424489,"study_0","Beta"
0.031031031031031,0.000979274540946099,"study_0","Beta"
0.032032032032032,0.00209881752028122,"study_0","Beta"
0.033033033033033,0.00430615364562274,"study_0","Beta"
0.034034034034034,0.00847936423151537,"study_0","Beta"
0.035035035035035,0.0160625064699743,"study_0","Beta"
0.036036036036036,0.0293339722013391,"study_0","Beta"
0.037037037037037,0.0517476507063242,"study_0","Beta"
0.038038038038038,0.088340291398653,"study_0","Beta"
0.039039039039039,0.146184169009816,"study_0","Beta"
0.04004004004004,0.23484697421617,"study_0","Beta"
0.041041041041041,0.366802948262842,"study_0","Beta"
0.042042042042042,0.557723726307864,"study_0","Beta"
0.043043043043043,0.826567739295853,"study_0","Beta"
0.044044044044044,1.1953868270369,"study_0","Beta"
0.045045045045045,1.68878056481708,"study_0","Beta"
0.046046046046046,2.33295377492074,"study_0","Beta"
0.047047047047047,3.1543697924228,"study_0","Beta"
0.048048048048048,4.178038060694,"study_0","Beta"
0.049049049049049,5.42552434389077,"study_0","Beta"
0.05005005005005,6.91281873269751,"study_0","Beta"
0.0510510510510511,8.64823379475564,"study_0","Beta"
0.0520520520520521,10.6305265333627,"study_0","Beta"
0.0530530530530531,12.8474389016279,"study_0","Beta"
0.0540540540540541,15.2748306774477,"study_0","Beta"
0.0550550550550551,17.8765366913193,"study_0","Beta"
0.0560560560560561,20.6050217292749,"study_0","Beta"
0.0570570570570571,23.4028372419873,"study_0","Beta"
0.0580580580580581,26.2048120394254,"study_0","Beta"
0.0590590590590591,28.9408425378169,"study_0","Beta"
0.0600600600600601,31.5390941897246,"study_0","Beta"
0.0610610610610611,33.9293901040774,"study_0","Beta"
0.0620620620620621,36.0465488358378,"study_0","Beta"
0.0630630630630631,37.8334415473985,"study_0","Beta"
0.0640640640640641,39.2435673310924,"study_0","Beta"
0.0650650650650651,40.2429904336323,"study_0","Beta"
0.0660660660660661,40.8115389773038,"study_0","Beta"
0.0670670670670671,40.9432253796857,"study_0","Beta"
0.0680680680680681,40.6459079679565,"study_0","Beta"
0.0690690690690691,39.9402659533136,"study_0","Beta"
0.0700700700700701,38.8582019110325,"study_0","Beta"
0.0710710710710711,37.4408146658083,"study_0","Beta"
0.0720720720720721,35.7361000665022,"study_0","Beta"
0.0730730730730731,33.7965380723161,"study_0","Beta"
0.0740740740740741,31.6767135836899,"study_0","Beta"
0.0750750750750751,29.4310980952912,"study_0","Beta"
0.0760760760760761,27.1120925363692,"study_0","Beta"
0.0770770770770771,24.7684016898725,"study_0","Beta"
0.0780780780780781,22.4437802131715,"study_0","Beta"
0.0790790790790791,20.1761619301015,"study_0","Beta"
0.0800800800800801,17.9971595399285,"study_0","Beta"
0.0810810810810811,15.9319023580582,"study_0","Beta"
0.0820820820820821,13.9991657024937,"study_0","Beta"
0.0830830830830831,12.2117370559717,"study_0","Beta"
0.0840840840840841,10.5769607170308,"study_0","Beta"
0.0850850850850851,9.09740354865084,"study_0","Beta"
0.0860860860860861,7.7715887089779,"study_0","Beta"
0.0870870870870871,6.59475091376887,"study_0","Beta"
0.0880880880880881,5.55957487895406,"study_0","Beta"
0.0890890890890891,4.65688727387262,"study_0","Beta"
0.0900900900900901,3.87628108042081,"study_0","Beta"
0.0910910910910911,3.20665916945652,"study_0","Beta"
0.0920920920920921,2.63669081285419,"study_0","Beta"
0.0930930930930931,2.15518054406846,"study_0","Beta"
0.0940940940940941,1.7513531919959,"study_0","Beta"
0.0950950950950951,1.415062077679,"study_0","Beta"
0.0960960960960961,1.13692939211546,"study_0","Beta"
0.0970970970970971,0.908428825274229,"study_0","Beta"
0.0980980980980981,0.721920774361521,"study_0","Beta"
0.0990990990990991,0.570650110760466,"study_0","Beta"
0.1001001001001,0.448715707070027,"study_0","Beta"
0.101101101101101,0.351019875638035,"study_0","Beta"
0.102102102102102,0.273204679944666,"study_0","Beta"
0.103103103103103,0.211580854826979,"study_0","Beta"
0.104104104104104,0.163053888755019,"study_0","Beta"
0.105105105105105,0.125050734694816,"study_0","Beta"
0.106106106106106,0.095449658096394,"study_0","Beta"
0.107107107107107,0.0725149167878899,"study_0","Beta"
0.108108108108108,0.0548373005616586,"study_0","Beta"
0.109109109109109,0.0412810311803866,"study_0","Beta"
0.11011011011011,0.0309371234657198,"study_0","Beta"
0.111111111111111,0.0230830186538266,"study_0","Beta"
0.112112112112112,0.0171481045238319,"study_0","Beta"
0.113113113113113,0.012684615280662,"study_0","Beta"
0.114114114114114,0.00934334133836876,"study_0","Beta"
0.115115115115115,0.00685356035117838,"study_0","Beta"
0.116116116116116,0.00500661355066962,"study_0","Beta"
0.117117117117117,0.00364258534197005,"study_0","Beta"
0.118118118118118,0.00263959097211475,"study_0","Beta"
0.119119119119119,0.00190523060532461,"study_0","Beta"
0.12012012012012,0.00136982367907858,"study_0","Beta"
0.121121121121121,0.000981091714721148,"study_0","Beta"
0.122122122122122,0.000700008678491753,"study_0","Beta"
0.123123123123123,0.000497584265108733,"study_0","Beta"
0.124124124124124,0.000352386490710021,"study_0","Beta"
0.125125125125125,0.000248645588159517,"study_0","Beta"
0.126126126126126,0.000174811567980348,"study_0","Beta"
0.127127127127127,0.000122463317029539,"study_0","Beta"
0.128128128128128,8.54882421632857e-05,"study_0","Beta"
0.129129129129129,5.94687635412641e-05,"study_0","Beta"
0.13013013013013,4.12259610722677e-05,"study_0","Beta"
0.131131131131131,2.84818906730974e-05,"study_0","Beta"
0.132132132132132,1.96109833656147e-05,"study_0","Beta"
