"phi","dens","study","distribution"
0,2.36196804389498e-09,"study_0","Gaussian"
0.001001001001001,4.75915893716321e-09,"study_0","Gaussian"
0.002002002002002,9.48849832914758e-09,"study_0","Gaussian"
0.003003003003003,1.87187070516732e-08,"study_0","Gaussian"
0.004004004004004,3.65397267470242e-08,"study_0","Gaussian"
0.005005005005005,7.05774281215574e-08,"study_0","Gaussian"
0.00600600600600601,1.34889283248962e-07,"study_0","Gaussian"
0.00700700700700701,2.55093945537937e-07,"study_0","Gaussian"
0.00800800800800801,4.77346717697991e-07,"study_0","Gaussian"
0.00900900900900901,8.83850507615136e-07,"study_0","Gaussian"
0.01001001001001,1.61932781662367e-06,"study_0","Gaussian"
0.011011011011011,2.93563341340931e-06,"study_0","Gaussian"
0.012012012012012,5.26598907388274e-06,"study_0","Gaussian"
0.013013013013013,9.34693388260795e-06,"study_0","Gaussian"
0.014014014014014,1.6416080498778e-05,"study_0","Gaussian"
0.015015015015015,2.85286263531337e-05,"study_0","Gaussian"
0.016016016016016,4.90572652544937e-05,"study_0","Gaussian"
0.017017017017017,8.34712453947605e-05,"study_0","Gaussian"
0.018018018018018,0.000140534042031992,"study_0","Gaussian"
0.019019019019019,0.000234119327216216,"study_0","Gaussian"
0.02002002002002,0.000385926039602491,"study_0","Gaussian"
0.021021021021021,0.000629480068655113,"study_0","Gaussian"
0.022022022022022,0.00101594680711919,"study_0","Gaussian"
0.023023023023023,0.00162244895304859,"study_0","Gaussian"
0.024024024024024,0.00256378852119026,"study_0","Gaussian"
0.025025025025025,0.00400870817235585,"study_0","Gaussian"
0.026026026026026,0.00620208579471441,"study_0","Gaussian"
0.027027027027027,0.00949472046786443,"study_0","Gaussian"
0.028028028028028,0.0143826092772052,"study_0","Gaussian"
0.029029029029029,0.0215577914894425,"study_0","Gaussian"
0.03003003003003,0.0319728932107385,"study_0","Gaussian"
0.031031031031031,0.0469213709339538,"study_0","Gaussian"
0.032032032032032,0.0681350429096465,"study_0","Gaussian"
0.033033033033033,0.0978997223898081,"study_0","Gaussian"
0.034034034034034,0.139188537730346,"study_0","Gaussian"
0.035035035035035,0.195810767551396,"study_0","Gaussian"
0.036036036036036,0.272571693682935,"study_0","Gaussian"
0.037037037037037,0.375436092563147,"study_0","Gaussian"
0.038038038038038,0.511684633910259,"study_0","Gaussian"
0.039039039039039,0.690048815203017,"study_0","Gaussian"
0.04004004004004,0.920806421747806,"study_0","Gaussian"
0.041041041041041,1.21581626716644,"study_0","Gaussian"
0.042042042042042,1.58846864125569,"study_0","Gaussian"
0.043043043043043,2.05352704523474,"study_0","Gaussian"
0.044044044044044,2.62683802148768,"study_0","Gaussian"
0.045045045045045,3.32488972635849,"study_0","Gaussian"
0.046046046046046,4.16420674982569,"study_0","Gaussian"
0.047047047047047,5.16057871765218,"study_0","Gaussian"
0.048048048048048,6.32813325444303,"study_0","Gaussian"
0.049049049049049,7.67827937500279,"study_0","Gaussian"
0.05005005005005,9.21856430702241,"study_0","Gaussian"
0.0510510510510511,10.9515037130292,"study_0","Gaussian"
0.0520520520520521,12.873460517064,"study_0","Gaussian"
0.0530530530530531,14.9736591000723,"study_0","Gaussian"
0.0540540540540541,17.2334275641864,"study_0","Gaussian"
0.0550550550550551,19.6257593899528,"study_0","Gaussian"
0.0560560560560561,22.1152759446469,"study_0","Gaussian"
0.0570570570570571,24.6586525172077,"study_0","Gaussian"
0.0580580580580581,27.2055433579565,"study_0","Gaussian"
0.0590590590590591,29.7000071028286,"study_0","Gaussian"
0.0600600600600601,32.082395448236,"study_0","Gaussian"
0.0610610610610611,34.2916282984533,"study_0","Gaussian"
0.0620620620620621,36.2677416152171,"study_0","Gaussian"
0.0630630630630631,37.954563739834,"study_0","Gaussian"
0.0640640640640641,39.3023555568182,"study_0","Gaussian"
0.0650650650650651,40.2702422461091,"study_0","Gaussian"
0.0660660660660661,40.8282710646786,"study_0","Gaussian"
0.0670670670670671,40.9589507049213,"study_0","Gaussian"
0.0680680680680681,40.6581618688277,"study_0","Gaussian"
0.0690690690690691,39.9353729249333,"study_0","Gaussian"
0.0700700700700701,38.8131448969353,"study_0","Gaussian"
0.0710710710710711,37.3259618887217,"study_0","Gaussian"
0.0720720720720721,35.5184715324426,"study_0","Gaussian"
0.0730730730730731,33.4432606902367,"study_0","Gaussian"
0.0740740740740741,31.1583208669761,"study_0","Gaussian"
0.0750750750750751,28.7243732890772,"study_0","Gaussian"
0.0760760760760761,26.2022245460605,"study_0","Gaussian"
0.0770770770770771,23.6503107632818,"study_0","Gaussian"
0.0780780780780781,21.122563519274,"study_0","Gaussian"
0.0790790790790791,18.6666972290064,"study_0","Gaussian"
0.0800800800800801,16.3229792061536,"study_0","Gaussian"
0.0810810810810811,14.1235039876071,"study_0","Gaussian"
0.0820820820820821,12.0919563808966,"study_0","Gaussian"
0.0830830830830831,10.2438160781493,"study_0","Gaussian"
0.0840840840840841,8.58693268369116,"study_0","Gaussian"
0.0850850850850851,7.12238473774845,"study_0","Gaussian"
0.0860860860860861,5.84552990494952,"study_0","Gaussian"
0.0870870870870871,4.74715518446765,"study_0","Gaussian"
