"alpha","method"
0.302595054589489,"MCMC"
0.725498125406779,"MCMC"
0.458511267486605,"MCMC"
0.517900552737549,"MCMC"
0.0706498119081445,"MCMC"
0.0661217007739748,"MCMC"
0.0751435416329219,"MCMC"
0.639057517188291,"MCMC"
0.777415954791879,"MCMC"
0.593547663911805,"MCMC"
0.350050575161757,"MCMC"
0.493624785065288,"MCMC"
0.230662028146685,"MCMC"
0.570481228563658,"MCMC"
0.873488518469116,"MCMC"
0.143915450959411,"MCMC"
0.606881307855543,"MCMC"
0.89086670544926,"MCMC"
0.17879943721508,"MCMC"
0.150074131007327,"MCMC"
0.578967932247509,"MCMC"
0.597096374721579,"MCMC"
0.714556039254359,"MCMC"
0.285515105337917,"MCMC"
0.715126207548024,"MCMC"
0.619823224067458,"MCMC"
0.137028567683661,"MCMC"
0.043375691711656,"MCMC"
0.359044677486878,"MCMC"
0.406448750330511,"MCMC"
0.857329621078759,"MCMC"
0.536055401546302,"MCMC"
0.119245060507979,"MCMC"
0.2043900154054,"MCMC"
0.12052173242233,"MCMC"
0.0265228098257231,"MCMC"
0.487962045388831,"MCMC"
0.422721234801985,"MCMC"
0.946516873124869,"MCMC"
0.97065359190892,"MCMC"
0.30401788673953,"MCMC"
0.00763150086824316,"MCMC"
0.553400424030554,"MCMC"
0.0812815407341899,"MCMC"
0.547761264057887,"MCMC"
0.587191490367426,"MCMC"
0.259205574464838,"MCMC"
0.870938246816691,"MCMC"
0.434980640976316,"MCMC"
0.648901074765954,"MCMC"
0.0624859605126644,"MCMC"
0.735919647968537,"MCMC"
0.520790431263382,"MCMC"
0.738265729223734,"MCMC"
0.195090513192402,"MCMC"
0.370735628531371,"MCMC"
0.669311035105271,"MCMC"
0.747000857663233,"MCMC"
0.994578344144038,"MCMC"
0.0861898461327506,"MCMC"
0.917950183660576,"MCMC"
0.0389161137123072,"MCMC"
0.168902358734659,"MCMC"
0.396813435861023,"MCMC"
0.974227541610817,"MCMC"
0.241962238553914,"MCMC"
0.15616039123466,"MCMC"
0.551096281939621,"MCMC"
0.847037047593538,"MCMC"
0.392379018957932,"MCMC"
0.417514040877977,"MCMC"
0.0747041112745581,"MCMC"
0.774167588596022,"MCMC"
0.845484375543289,"MCMC"
0.16608716835844,"MCMC"
0.284012709672724,"MCMC"
0.598180597549701,"MCMC"
0.46094864767563,"MCMC"
0.84270272903529,"MCMC"
0.723311883775625,"MCMC"
0.0628736990481166,"MCMC"
0.316508351499404,"MCMC"
0.473899718019782,"MCMC"
0.585197575818214,"MCMC"
0.465287165711228,"MCMC"
0.14054375562474,"MCMC"
0.445870249801897,"MCMC"
0.0941529331418904,"MCMC"
0.210736360716449,"MCMC"
0.763657293363825,"MCMC"
0.273643692880045,"MCMC"
0.715133094412095,"MCMC"
0.788966729938574,"MCMC"
0.0851668538249321,"MCMC"
0.937352238724283,"MCMC"
0.398385624730515,"MCMC"
0.152381509626509,"MCMC"
0.700634416550719,"MCMC"
0.376526080464313,"MCMC"
0.825545558120742,"MCMC"
0.0889660812191726,"MCMC"
0.472149498003241,"MCMC"
0.569919554985877,"MCMC"
0.329781452348763,"MCMC"
0.0780261094694608,"MCMC"
0.0745486378654059,"MCMC"
0.321446456611378,"MCMC"
0.908285788325509,"MCMC"
0.42434696211291,"MCMC"
0.413957363315911,"MCMC"
0.388922571542493,"MCMC"
0.119929927675668,"MCMC"
0.44215706347549,"MCMC"
0.803456123986927,"MCMC"
0.826714754331131,"MCMC"
0.0933353413419986,"MCMC"
0.228354197860809,"MCMC"
0.381900007529853,"MCMC"
0.0681398197329922,"MCMC"
0.194576917677241,"MCMC"
0.593563264869492,"MCMC"
0.595615069755724,"MCMC"
0.137807110405638,"MCMC"
0.586212600325257,"MCMC"
0.428280728545539,"MCMC"
0.947349065039365,"MCMC"
0.324808512533265,"MCMC"
0.692646653983594,"MCMC"
0.764917263453244,"MCMC"
0.184246038955795,"MCMC"
0.361592336993288,"MCMC"
0.389670420902721,"MCMC"
0.47072657739854,"MCMC"
0.0166995952681165,"MCMC"
0.321571702488706,"MCMC"
0.863563657461327,"MCMC"
0.515930755903694,"MCMC"
0.186691356791634,"MCMC"
0.259703836041509,"MCMC"
0.379691236476062,"MCMC"
0.564421965518494,"MCMC"
0.436951301191799,"MCMC"
0.497931739615899,"MCMC"
0.701825422539757,"MCMC"
0.0229818417637493,"MCMC"
0.590545221807749,"MCMC"
0.322328244005432,"MCMC"
0.0606640955138728,"MCMC"
0.199999059247511,"MCMC"
0.284431930033881,"MCMC"
0.347554063936995,"MCMC"
0.427158768548162,"MCMC"
0.700309077320934,"MCMC"
0.0530223495617071,"MCMC"
0.0819384949810076,"MCMC"
0.682415057724905,"MCMC"
0.521836678618708,"MCMC"
0.0389969079249243,"MCMC"
0.638952792298904,"MCMC"
0.119400243181271,"MCMC"
0.756222586513631,"MCMC"
0.762903251310844,"MCMC"
0.0446566376392328,"MCMC"
0.0728815510132393,"MCMC"
0.207507311783017,"MCMC"
0.652945835825079,"MCMC"
0.655580676093968,"MCMC"
0.570481280129267,"MCMC"
0.403973435144696,"MCMC"
0.0668412141280369,"MCMC"
0.0209703132431143,"MCMC"
0.880104025004835,"MCMC"
0.0119817381002068,"MCMC"
0.950770032657467,"MCMC"
0.40112450793803,"MCMC"
0.650973210150798,"MCMC"
0.877076076665548,"MCMC"
0.078205622237369,"MCMC"
0.687671347487269,"MCMC"
0.24889410857776,"MCMC"
0.934487016852945,"MCMC"
0.0209776070818796,"MCMC"
0.150123941391293,"MCMC"
0.591562502824813,"MCMC"
0.726095373906614,"MCMC"
0.437177554935875,"MCMC"
0.434484271551472,"MCMC"
0.608977983393878,"MCMC"
0.856078638487076,"MCMC"
0.660671833596189,"MCMC"
0.482655422541686,"MCMC"
0.817899758557126,"MCMC"
0.142480791364408,"MCMC"
0.605601976214018,"MCMC"
0.10265039476307,"MCMC"
0.363337891772295,"MCMC"
0.0349909226227649,"MCMC"
0.579270223054953,"MCMC"
0.850629664585095,"MCMC"
0.88977130330061,"MCMC"
0.522550624022186,"MCMC"
0.0637299331763348,"MCMC"
0.429740654648655,"MCMC"
0.705550834337768,"MCMC"
0.734818220536496,"MCMC"
0.422236286540141,"MCMC"
0.0815531089647665,"MCMC"
0.883232703213739,"MCMC"
0.341712933595373,"MCMC"
0.664518873966177,"MCMC"
0.354891745315274,"MCMC"
0.614399126418816,"MCMC"
0.200686324236833,"MCMC"
0.313553180116039,"MCMC"
0.294375722179731,"MCMC"
0.622303130261071,"MCMC"
0.21718270777635,"MCMC"
0.136431051569932,"MCMC"
0.647371063336798,"MCMC"
0.410584189006174,"MCMC"
0.253151761441982,"MCMC"
0.397904446652836,"MCMC"
0.909531810425529,"MCMC"
0.884677890345825,"MCMC"
0.758091451864975,"MCMC"
0.554969707510226,"MCMC"
0.321808517927812,"MCMC"
0.0284125586487359,"MCMC"
0.73029251600524,"MCMC"
0.733260192462635,"MCMC"
0.252462332351125,"MCMC"
0.490388766663623,"MCMC"
0.683602545614117,"MCMC"
0.209420617203467,"MCMC"
0.915828051551643,"MCMC"
0.751413957368811,"MCMC"
0.199900395234433,"MCMC"
0.336416569200903,"MCMC"
0.298908837515469,"MCMC"
0.325110007155533,"MCMC"
0.405073685665599,"MCMC"
0.308920935973504,"MCMC"
0.713993686988481,"MCMC"
0.439234698979348,"MCMC"
0.181141804417689,"MCMC"
0.6716481608772,"MCMC"
0.852517545997835,"MCMC"
0.330361604302612,"MCMC"
0.087523434457459,"MCMC"
0.291532150407627,"MCMC"
0.149332439325884,"MCMC"
0.629983021898486,"MCMC"
0.26577942767346,"MCMC"
0.549222486129215,"MCMC"
0.468660822417686,"MCMC"
0.0628090165841102,"MCMC"
0.138407222605572,"MCMC"
0.438748859696443,"MCMC"
0.598963321268381,"MCMC"
0.385372805477329,"MCMC"
0.333437526586198,"MCMC"
0.154980745489928,"MCMC"
0.0319205217169842,"MCMC"
0.159152360710285,"MCMC"
0.497912749800297,"MCMC"
0.617967156210408,"MCMC"
0.621038277179682,"MCMC"
0.558914596109208,"MCMC"
0.831563416153429,"MCMC"
0.276074936757676,"MCMC"
0.0247218896960907,"MCMC"
0.257231892805608,"MCMC"
0.185712319610239,"MCMC"
0.463379971113136,"MCMC"
0.48115363387126,"MCMC"
0.409708261519358,"MCMC"
0.153822450196188,"MCMC"
0.399639176467032,"MCMC"
0.954432116085897,"MCMC"
0.659472494536772,"MCMC"
0.448796034500724,"MCMC"
0.0511021883176491,"MCMC"
0.760834733427117,"MCMC"
0.481235913740971,"MCMC"
0.0122380444542937,"MCMC"
0.193479529856503,"MCMC"
0.0539461626941588,"MCMC"
0.234539773547687,"MCMC"
0.430115552888008,"MCMC"
0.666079990595772,"MCMC"
0.616594239760339,"MCMC"
0.844115603651188,"MCMC"
0.344850579642302,"MCMC"
0.133048181733397,"MCMC"
0.507387074120292,"MCMC"
0.216426774992366,"MCMC"
0.205321366284179,"MCMC"
0.894819333491218,"MCMC"
0.486303411520208,"MCMC"
0.102981095386157,"MCMC"
0.752152081965266,"MCMC"
0.319886745839888,"MCMC"
0.118337795374243,"MCMC"
0.701625900045026,"MCMC"
0.558103376974969,"MCMC"
0.00200051719685546,"MCMC"
0.0603928528320703,"MCMC"
0.0900039943602727,"MCMC"
0.819495099792923,"MCMC"
0.111647950018173,"MCMC"
0.998406446110056,"MCMC"
0.137432703486847,"MCMC"
0.35617671224937,"MCMC"
0.327601535649425,"MCMC"
0.146283747665157,"MCMC"
0.0243168065471582,"MCMC"
0.365859714359969,"MCMC"
0.773370017921385,"MCMC"
0.746113449885359,"MCMC"
0.575703441761356,"MCMC"
0.681190685146781,"MCMC"
0.429143108491689,"MCMC"
0.712609601016947,"MCMC"
0.0279928915709886,"MCMC"
0.377016009553661,"MCMC"
0.88452590792508,"MCMC"
0.290162560509084,"MCMC"
0.177026134537915,"MCMC"
0.405683327319981,"MCMC"
0.0855617870966852,"MCMC"
0.192045719922945,"MCMC"
0.798427094761739,"MCMC"
0.483678797667207,"MCMC"
0.778509123037719,"MCMC"
0.667571691548912,"MCMC"
0.829536058741411,"MCMC"
0.0159922489812913,"MCMC"
0.295244750282503,"MCMC"
0.35525972124203,"MCMC"
0.0685755186205789,"MCMC"
0.700721879741912,"MCMC"
0.686788011121586,"MCMC"
0.61426604656726,"MCMC"
0.488021524882515,"MCMC"
0.590205243461771,"MCMC"
0.281877906138205,"MCMC"
0.523100559437513,"MCMC"
0.368674908383511,"MCMC"
0.594921829292835,"MCMC"
0.668505620195675,"MCMC"
0.380644283821528,"MCMC"
0.56651361509665,"MCMC"
0.150589400643881,"MCMC"
0.33693454801772,"MCMC"
0.338887623848052,"MCMC"
0.177840479361331,"MCMC"
0.0310963139192573,"MCMC"
0.193903555396813,"MCMC"
0.194910231276586,"MCMC"
0.434281707687702,"MCMC"
0.508394153635297,"MCMC"
0.354798150613216,"MCMC"
0.112672164585459,"MCMC"
0.844336164320595,"MCMC"
0.0468905427066328,"MCMC"
0.81834806902834,"MCMC"
0.415795539192809,"MCMC"
0.901691851998742,"MCMC"
0.277739037775578,"MCMC"
0.490378361824639,"MCMC"
0.0758356005626434,"MCMC"
0.830190333935169,"MCMC"
0.329693809549735,"MCMC"
0.347853332279342,"MCMC"
0.507592718640974,"MCMC"
0.927527271059462,"MCMC"
0.20104405749251,"MCMC"
0.0305239212760827,"MCMC"
0.532545197114097,"MCMC"
0.285206350206413,"MCMC"
0.0467633341291764,"MCMC"
0.0791180299035115,"MCMC"
0.0728685667951466,"MCMC"
0.646487121559312,"MCMC"
0.26680686039049,"MCMC"
0.19823898176569,"MCMC"
0.387803193277102,"MCMC"
0.617880521119989,"MCMC"
0.879478371893034,"MCMC"
0.178873187174404,"MCMC"
0.390670426981315,"MCMC"
0.567868272218981,"MCMC"
0.45049331849674,"MCMC"
0.297727991402525,"MCMC"
0.0764867034727238,"MCMC"
0.229420122201904,"MCMC"
0.704527755906682,"MCMC"
0.673698643710458,"MCMC"
0.238830084076622,"MCMC"
0.0957317132649809,"MCMC"
0.47051857673885,"MCMC"
0.396473435708084,"MCMC"
0.248045874462051,"MCMC"
0.367385476617622,"MCMC"
0.359301906045802,"MCMC"
0.149848365699349,"MCMC"
0.700809486379439,"MCMC"
0.345189262528956,"MCMC"
0.302449138823187,"MCMC"
0.521489059717823,"MCMC"
0.226880293639875,"MCMC"
0.493295267907031,"MCMC"
0.0543758635056814,"MCMC"
0.0455347037279146,"MCMC"
0.0484221670974703,"MCMC"
0.195027634315236,"MCMC"
0.759668842113945,"MCMC"
0.681792646992075,"MCMC"
0.54481846355735,"MCMC"
0.517472705483289,"MCMC"
0.784756270415326,"MCMC"
0.311258682199648,"MCMC"
0.145867246702792,"MCMC"
0.78225607479114,"MCMC"
0.0506804428660809,"MCMC"
0.468290064357574,"MCMC"
