"alpha","method"
0.540997709147632,"SpIR"
0.0994734144769609,"SpIR"
0.213916030479595,"SpIR"
0.093354219570756,"SpIR"
0.253272620495409,"SpIR"
0.707193563459441,"SpIR"
0.192899585003033,"SpIR"
0.194477685028687,"SpIR"
0.167323120636866,"SpIR"
0.319015089422464,"SpIR"
0.449518208857626,"SpIR"
0.169864868279546,"SpIR"
0.761024583363906,"SpIR"
0.281379319727421,"SpIR"
0.254119713325053,"SpIR"
0.631304972805083,"SpIR"
0.0900841187685728,"SpIR"
0.394663941347972,"SpIR"
0.865977183915675,"SpIR"
0.157650273293257,"SpIR"
0.365526743931696,"SpIR"
0.201116190990433,"SpIR"
0.664451699238271,"SpIR"
0.370588063262403,"SpIR"
0.119580448837951,"SpIR"
0.620451790513471,"SpIR"
0.493123948341235,"SpIR"
0.103757195407525,"SpIR"
0.59004388237372,"SpIR"
0.185761130880564,"SpIR"
0.249851528787985,"SpIR"
0.217971050180495,"SpIR"
0.718780848896131,"SpIR"
0.646769864484668,"SpIR"
0.27137487847358,"SpIR"
0.104761146008968,"SpIR"
0.0900841187685728,"SpIR"
0.299880834063515,"SpIR"
0.644440159434453,"SpIR"
0.603189903078601,"SpIR"
0.341677909018472,"SpIR"
0.433998146792874,"SpIR"
0.726597489556298,"SpIR"
0.206402431707829,"SpIR"
0.281379319727421,"SpIR"
0.275544684613124,"SpIR"
0.666195326950401,"SpIR"
0.344276344636455,"SpIR"
0.111301996745169,"SpIR"
0.341101068304852,"SpIR"
0.0100857093930244,"SpIR"
0.671945022651926,"SpIR"
0.448613084154204,"SpIR"
0.0638445247896016,"SpIR"
0.34435830404982,"SpIR"
0.372461701510474,"SpIR"
0.126893843989819,"SpIR"
0.468431838555261,"SpIR"
0.00963663985021412,"SpIR"
0.150432782480493,"SpIR"
0.797224345616996,"SpIR"
0.27803499577567,"SpIR"
0.631304972805083,"SpIR"
0.34435830404982,"SpIR"
0.656532047316432,"SpIR"
0.437923128949478,"SpIR"
0.718780848896131,"SpIR"
0.348447298398241,"SpIR"
0.487828717799857,"SpIR"
0.0328494757413864,"SpIR"
0.379049831535667,"SpIR"
0.674554708180949,"SpIR"
0.617649399209768,"SpIR"
0.448613084154204,"SpIR"
0.603189903078601,"SpIR"
0.0254187416285276,"SpIR"
0.726597489556298,"SpIR"
0.673648590222001,"SpIR"
0.459617983084172,"SpIR"
0.287190086906776,"SpIR"
0.194477685028687,"SpIR"
0.0392273063771427,"SpIR"
0.692249898100272,"SpIR"
0.0942157923709601,"SpIR"
0.403449442470446,"SpIR"
0.365526743931696,"SpIR"
0.77526155137457,"SpIR"
0.674190358025953,"SpIR"
0.188009130069986,"SpIR"
0.666195326950401,"SpIR"
0.255470718955621,"SpIR"
0.199649381684139,"SpIR"
0.509788620052859,"SpIR"
0.229003860149533,"SpIR"
0.201116190990433,"SpIR"
0.522913835244253,"SpIR"
0.357083422131836,"SpIR"
0.0638445247896016,"SpIR"
0.459617983084172,"SpIR"
0.0900841187685728,"SpIR"
0.396158100105822,"SpIR"
0.0652056306134909,"SpIR"
0.290171127766371,"SpIR"
0.530333145754412,"SpIR"
0.436584335984662,"SpIR"
0.692249898100272,"SpIR"
0.46970897517167,"SpIR"
0.157650273293257,"SpIR"
0.254119713325053,"SpIR"
0.742840898688883,"SpIR"
0.914085615891963,"SpIR"
0.199649381684139,"SpIR"
0.217971050180495,"SpIR"
0.0208774881903082,"SpIR"
0.617237808182836,"SpIR"
0.338733150390908,"SpIR"
0.111076627857983,"SpIR"
0.0240947923157364,"SpIR"
0.268365563126281,"SpIR"
0.428504463285208,"SpIR"
0.247762311715633,"SpIR"
0.167537608882412,"SpIR"
0.261265442473814,"SpIR"
0.202948605408892,"SpIR"
0.180084899766371,"SpIR"
0.421087144641206,"SpIR"
0.954789444804192,"SpIR"
0.496279097162187,"SpIR"
0.577491209842265,"SpIR"
0.468431838555261,"SpIR"
0.411756926449016,"SpIR"
0.58620576444082,"SpIR"
0.58620576444082,"SpIR"
0.769434882327914,"SpIR"
0.458270993316546,"SpIR"
0.195796322077513,"SpIR"
0.133029901655391,"SpIR"
0.559642562875524,"SpIR"
0.571003155317158,"SpIR"
0.365526743931696,"SpIR"
0.0422769165597856,"SpIR"
0.571101591223851,"SpIR"
0.0613566155079752,"SpIR"
0.0774353856686503,"SpIR"
0.267268104478717,"SpIR"
0.228227296844125,"SpIR"
0.377133284462616,"SpIR"
0.365526743931696,"SpIR"
0.923801168100909,"SpIR"
0.249851528787985,"SpIR"
0.321236576884985,"SpIR"
0.254119713325053,"SpIR"
0.0604775454849005,"SpIR"
0.21826317999512,"SpIR"
0.0698849956970662,"SpIR"
0.202669496648014,"SpIR"
0.27137487847358,"SpIR"
0.55450795404613,"SpIR"
0.238512329291552,"SpIR"
0.00655469903722406,"SpIR"
0.646769864484668,"SpIR"
0.493123948341235,"SpIR"
0.646769864484668,"SpIR"
0.722151046385989,"SpIR"
0.208947115344927,"SpIR"
0.27803499577567,"SpIR"
0.30271256598644,"SpIR"
0.0578632312826812,"SpIR"
0.323162136599422,"SpIR"
0.887724411441013,"SpIR"
0.111076627857983,"SpIR"
0.646767928497866,"SpIR"
0.078349947463721,"SpIR"
0.111301996745169,"SpIR"
0.788235352374613,"SpIR"
0.475484352791682,"SpIR"
0.169864868279546,"SpIR"
0.83292063488625,"SpIR"
0.692249898100272,"SpIR"
0.253272620495409,"SpIR"
0.21415330376476,"SpIR"
0.613100413233042,"SpIR"
0.25136880739592,"SpIR"
0.553630023729056,"SpIR"
0.466925292508677,"SpIR"
0.703159507829696,"SpIR"
0.194477685028687,"SpIR"
0.319729706505314,"SpIR"
0.615921940654516,"SpIR"
0.0167188541963696,"SpIR"
0.468431838555261,"SpIR"
0.299880834063515,"SpIR"
0.445952117443085,"SpIR"
0.217971050180495,"SpIR"
0.141990861389786,"SpIR"
0.238512329291552,"SpIR"
0.937552698655054,"SpIR"
0.213916030479595,"SpIR"
0.648444129619747,"SpIR"
0.836027778219432,"SpIR"
0.725185077171773,"SpIR"
0.421087144641206,"SpIR"
0.0900841187685728,"SpIR"
0.201116190990433,"SpIR"
0.00994064193218947,"SpIR"
0.14149727509357,"SpIR"
0.836027778219432,"SpIR"
0.344276344636455,"SpIR"
0.25136880739592,"SpIR"
0.141990861389786,"SpIR"
0.0328494757413864,"SpIR"
0.092254965333268,"SpIR"
0.712862810818478,"SpIR"
0.0613566155079752,"SpIR"
0.695032033603638,"SpIR"
0.27803499577567,"SpIR"
0.728454651543871,"SpIR"
0.194477685028687,"SpIR"
0.57942242664285,"SpIR"
0.0652056306134909,"SpIR"
0.093354219570756,"SpIR"
0.372461701510474,"SpIR"
0.239543354371563,"SpIR"
0.194477685028687,"SpIR"
0.633562915259972,"SpIR"
0.078349947463721,"SpIR"
0.217971050180495,"SpIR"
0.449518208857626,"SpIR"
0.427441889652982,"SpIR"
0.170620645862073,"SpIR"
0.613100413233042,"SpIR"
0.768009064951912,"SpIR"
0.509867046959698,"SpIR"
0.251364797120914,"SpIR"
0.783420561812818,"SpIR"
0.630636402172968,"SpIR"
0.698858692543581,"SpIR"
0.0240947923157364,"SpIR"
0.44981766701676,"SpIR"
0.521617392543703,"SpIR"
0.1388794190716,"SpIR"
0.594615925103426,"SpIR"
0.427441889652982,"SpIR"
0.18359635071829,"SpIR"
0.816898073768243,"SpIR"
0.201116190990433,"SpIR"
0.335614116629586,"SpIR"
0.00994064193218947,"SpIR"
0.921597550390288,"SpIR"
0.77526155137457,"SpIR"
0.591562447836623,"SpIR"
0.606175522087142,"SpIR"
0.179830364650115,"SpIR"
